clientId,lat,lng
client-ma-ma057350,45.4685868,39.4232458
client-ma-ma061342,45.9552003,33.7909802
client-ma-ma139936,45.8626554,40.1264475
client-ma0000348,46.5628196,39.6347948
client-ma0000107,46.559943,39.6340549
client-ma-ma130850,45.2167096,33.3530882
client-ma-ma099933,45.7824134,39.2205987
client-ma0002164,45.4683004,39.4590918
client-ma-ma033923,45.9567738,33.7922949
client-ma-ma136438,45.9567738,33.7922949
client-ma-ma041906,45.953795,33.7910982
client-ma0000647,44.4537564,39.7556293
client-ma-ma080123,45.4585231,39.4364765
client-ma0000778,43.0464896,44.6686425
client-ma-ma081729,43.4533889,43.5810849
client-ma-ma062833,45.1486556,42.0270598
client-ma-ma053964,43.0281629,44.6803786
client-ma-ma091500,45.7174443,42.9135799
client-ma0002441,43.0557307,44.6406752
client-ma-ma067577,43.4533889,43.5810849
client-ma0000572,43.0135845,44.6726422
client-ma-ma086859,43.0365371,44.6424708
client-ma0001338,43.0281629,44.6803786
client-ma-ma107262,43.2229523,44.7434516
client-ma-00031370,55.7113094,37.5954192
client-ma-ma041916,43.4533889,43.5810849
client-ma-ma088788,43.2031169,44.7637244
client-ma-ma063264,45.1353465,41.9936427
client-ma-ma059639,43.1663425,44.8141808
client-ma-ma047763,43.0465691,44.6770624
client-ma0002069,43.0696312,44.6757707
client-ma-ma094495,45.0883165,39.0203796
client-ma-ma085218,45.0769018,39.0013637
client-ma0001346,44.9293192,37.985448
client-ma-ma017174,45.6217776,38.9238127
client-ma-ma134574,45.0992816,39.0621626
client-ma0002346,45.0179318,38.9695807
client-ma0000890,45.0133244,39.1977664
client-ma-ma027943,45.1296061,38.9805073
client-ma-ma107730,45.0179318,38.9695807
client-ma-ma009395,45.0179318,38.9695807
client-ma-ma052903,45.0253423,38.9676768
client-ma-ma046765,45.0295416,38.9131274
client-ma-ma063286,45.0165631,38.9622235
client-ma0000538,45.0274728,38.9711372
client-ma0001591,45.0230749,38.9724191
client-ma-ma059872,45.0179318,38.9695807
client-ma-ma142406,45.0205611,38.9688559
client-ma-00032366,45.0179318,38.9695807
client-ma0002798,45.0217992,38.9643504
client-ma-ma088704,45.1505703,38.9983376
client-ma-ma106020,45.0273608,38.9621765
client-ma0000027,45.0179318,38.9695807
client-ma0002573,45.0513096,39.0294759
client-ma0000114,45.0274728,38.9711372
client-ma-ma105755,45.0754631,38.8990969
client-ma-ma126329,45.0591185,38.9491484
client-ma-ma082517,45.0165631,38.9622235
client-0632н,45.0683997,39.0227899
client-ma-ma105293,45.0467478,38.9284481
client-ma-ma123193,45.0019319,39.1270606
client-ma-ma109420,45.0232524,39.0689131
client-ma-ma136913,45.0230749,38.9724191
client-ma-ma068011,45.044606,39.081602
client-ma-ma092665,45.0273608,38.9621765
client-ma-ma068030,45.0310954,38.9735948
client-ma-ma050182,45.0960767,39.1028043
client-ma0000055,45.0179318,38.9695807
client-ma-ma123122,45.0425371,39.005312
client-ma-ma024589,45.0179318,38.9695807
client-ma0000552,45.0249245,38.9695929
client-ma-ma070618,45.0271786,38.9708607
client-ma-ma136497,45.0205611,38.9688559
client-ma-00031827,45.0305609,38.9668734
client-ma-ma058818,45.0887549,38.9887562
client-ma-ma098585,45.0831736,39.0152409
client-ma0002636,45.6168405,38.9327123
client-ma0000513,45.0589369,39.0487808
client-ma-ma050413,45.0960767,39.1028043
client-ma-ma071594,45.0179318,38.9695807
client-ma-00032760,45.2069844,33.3449784
client-ma0001740,45.8474433,40.1354792
client-ma-ma039981,45.8678472,40.1071399
client-ma-ma061738,44.6791895,34.4047928
client-ma-ma129107,45.2054253,33.3449059
client-ma-ma039765,45.2040771,33.3468314
client-ma-ma001609,45.2040771,33.3468314
client-ma-ma044461,45.2054253,33.3449059
client-ma-ma061343,45.2054253,33.3449059
client-ma-ma052280,45.1996122,33.3536388
client-ma-ma004252,45.2002981,33.3547983
client-ma-ma037095,45.2113534,33.3820468
client-ma-ma001598,45.19827,33.34595
client-ma-ma067926,45.19827,33.34595
client-ma0002205,45.2004666,33.3696303
client-ma0000295,45.8503474,40.1316119
client-ma-ma086227,45.2167096,33.3530882
client-ma-ma035020,45.4645277,39.4317764
client-ma0000947,46.092747,40.8980539
client-ma-ma056304,45.8534835,40.1356142
client-ma-ma101404,44.7560349,34.5540047
client-ma-ma062873,45.2167096,33.3530882
client-ma-ma061509,45.2167096,33.3530882
client-000000036,46.0744592,40.8756251
client-ma-ma128950,45.1976235,33.3461104
client-ma-ma060463,45.7191749,34.3856179
client-ma-ma062555,45.7191749,34.3856179
client-ma-00032829,45.7060056,34.3992325
client-ma-ma022000,45.7060056,34.3992325
client-ma-ma094835,45.7160616,34.3923251
client-ma-ma063745,45.7160616,34.3923251
client-ma-ma039990,45.7060056,34.3992325
client-ma-ma063715,45.7060056,34.3992325
client-ma-ma066482,45.7216117,34.3985184
client-ma-ma020796,45.7060056,34.3992325
client-ma-ma039830,45.7060056,34.3992325
client-ma-00033355,45.7060056,34.3992325
client-ma-ma041137,45.7128338,34.393409
client-ma-ma074577,45.7216117,34.3985184
client-ma-ma031867,47.7116194,40.1521325
client-ma-ma139679,47.0802779,39.4305743
client-ma-ma054199,47.7274769,40.2502524
client-ma-ma100851,48.9161133,40.4059637
client-ma-ma089942,47.7308134,40.2405678
client-ma0001177,47.4493702,40.1244098
client-ma-ma063327,47.7541986,39.9307336
client-ma-ma145845,47.7047143,40.2257045
client-ma0001596,47.1170732,39.418906
client-ma-ma113979,47.4095554,40.1005363
client-ma-ma145728,48.923854,40.3989126
client-ma-ma050510,47.0148113,39.240593
client-ma-ma128366,47.4088247,40.0999952
client-ma0001066,47.776917,40.1494944
client-ma-ma064644,48.3342742,40.2537072
client-ma-ma129542,47.6998514,40.2151786
client-ma0000652,47.4231785,40.0390045
client-ma-ma128749,47.8175205,39.8951153
client-ma-ma023135,47.4231785,40.0390045
client-ma-ma143393,47.2602253,39.6486084
client-ma-ma066983,47.7075336,40.2175476
client-ma0002659,47.1036469,39.428781
client-ma-ma110589,47.2124143,39.6487344
client-ma-ma121025,47.7235089,40.1944748
client-ma-ma115578,44.4586574,39.7445534
client-ma0002113,44.8880737,40.5663727
client-ma-ma059891,44.6298484,39.1064962
client-ma-ma014924,44.0393636,40.9133199
client-ma-ma069525,44.6341605,39.1374954
client-ma0000677,44.6131182,40.1016034
client-ma0001369,44.602002,40.0962929
client-ma0000420,44.6268514,40.7448498
client-ma-ma050494,44.641548,40.7378532
client-ma-ma046531,45.1420294,39.5911644
client-ma0002092,44.7687202,39.8813271
client-ma0000202,44.4637776,39.7400159
client-ma-ma002326,44.6322627,39.1229624
client-ma-ma069671,44.9031332,40.5938134
client-ma-ma039219,44.6437579,39.168482
client-ma0000057,44.6409512,40.738885
client-ma-ma072523,44.6285423,40.0963967
client-ma0000207,44.4231797,39.537509
client-ma0000542,44.4231797,39.537509
client-ma0001253,44.6063592,40.1333902
client-ma-00031348,44.8808841,40.6018499
client-ma0000718,44.6046616,40.0889995
client-ma-ma093986,44.8983085,40.5950969
client-ma-ma082853,44.8967693,40.5979318
client-ma-ma112435,44.4649404,39.739311
client-ma-ma054685,44.6355802,40.7249332
client-ma-ma096945,44.4232846,39.5362421
client-ma-ma092389,44.4128633,40.789217
client-ma-ma086510,44.6163311,40.1156759
client-ma-ma071198,44.6224311,40.0123542
client-ma0000014,44.6135151,40.0997999
client-ma-ma105696,45.1350889,41.985962
client-ma0002259,44.6421081,40.7199551
client-ma-ma109556,44.4128633,40.789217
client-ma-ma092720,44.7716426,39.8587067
client-ma-ma043137,44.7826362,39.8470344
client-ma-ma091872,44.7417194,39.8973799
client-ma0000943,44.6388414,39.1507668
client-ma0000685,44.8934015,40.6029567
client-ma-ma142474,45.1093238,43.3991638
client-ma-ma057905,44.0302822,43.1361921
client-ma-ma060804,44.1443194,43.4815087
client-ma0001704,44.0572395,42.9660797
client-ma-ma077870,43.7473679,44.641925
client-ma-ma041782,44.0532432,42.8498823
client-ma-ma092897,43.933848,42.7405125
client-ma-ma024554,45.0954607,43.4179714
client-ma-ma076825,44.1359969,43.4657324
client-ma-ma088375,44.0565248,42.9835598
client-ma-ma044522,44.2049684,43.1312948
client-ma-ma106938,43.916511,42.7251233
client-ma0001474,43.916511,42.7251233
client-ma-ma092683,44.8067998,44.142204
client-ma0002139,44.0354123,43.0796151
client-ma-ma049912,44.1494282,43.4763255
client-ma-ma106940,43.9086719,42.710985
client-ma0001558,44.0435676,43.0225349
client-ma-ma093746,44.0483866,43.1416892
client-ma-ma079079,43.9604319,43.639265
client-ma-ma103163,43.9192126,42.724845
client-ma-ma119453,44.0505677,43.0074678
client-ma-ma082824,43.6103058,39.7304704
client-ma-ma078073,44.1144046,39.0661298
client-ma-ma089686,43.7749287,39.5053089
client-ma-ma085104,43.5900849,39.7197324
client-ma0001121,44.6397347,39.1657309
client-ma-ma045934,43.4315047,39.9375875
client-ma-00031952,44.4505349,39.757312
client-ma-ma068690,43.6089504,39.7291878
client-ma0001619,43.6103058,39.7304704
client-ma-ma092058,43.5169643,39.8652054
client-ma-ma067951,43.5169643,39.8652054
client-ma-ma087217,43.5169643,39.8652054
client-ma0002705,43.8393535,39.442506
client-000000127,43.6587945,39.6597532
client-ma-ma094652,44.4604067,39.7318861
client-ma-ma043844,43.6432296,39.7488426
client-ma-ma050933,44.1163756,39.0659084
client-ma-ma100842,44.1193854,39.0624708
